id,name,lat,lon,staff_email_domain,website,street,postcode,city,state
1,"Kreiskrankenhaus Torgau ""Johann Kentmann""",51.5615645,12.984629,kkh-torgau.de,www.kkh-torgau.de/,Christianistr.,04860,Torgau,Sachsen
2,DIAKOMED- Diakoniekrankenhaus Chemnitzer Land gGmbH,50.8830028,12.7926678,diakomed.de,www.diakomed.de,Limbacher Str.,09232,Hartmannsdorf,Sachsen
3,MEDIAN Klinik Gunzenbachhof Baden-Baden,48.7486287,8.244032,median-kliniken.de,www.median-kliniken.de,Gunzenbachstraße,76530,Baden-Baden,Baden-Württemberg
4,Ortenau Klinikum Offenburg-Kehl,48.4761467,7.9555411,ortenau-klinikum.de,www.ortenau-klinikum.de,Ebertplatz,77654,Offenburg,Baden-Württemberg
5,WolfartKlinik,48.1179807,11.421919,wolfartklinik.de,www.wolfartklinik.de,Waldstr.,82166,Gräfelfing,Bayern
6,Sana Klinik München GmbH,48.1042723,11.5394238,sana.de,www.sana-gesundheitscampus-muenchen.de,Steinerstr.,81369,München,Bayern
7,Klinik Dr. Maul GmbH,48.7714915,11.4328451,klinik-dr-maul.de,www.klinik-dr-maul.de,Östliche Ringstr.,85049,Ingolstadt,Bayern
8,ARCUS Sportklinik,48.8977899,8.664974,sportklinik.de,www.sportklinik.de,Rastatter Str.,75119,Pforzheim,Baden-Württemberg
9,Frauenklinik Dr. Geisenhofer GmbH,48.1515148,11.5960485,geisenhoferklinik.de,www.geisenhoferklinik.de,Hirschauer Str.,80538,München,Bayern
10,VAMED Klinik Hagen-Ambrock,51.3149273,7.5148275,vamed-gesundheit.de,www.vamed-gesundheit.de/kliniken/hagen-ambrock,Ambrocker Weg,58091,"Hagen, Westfalen",Nordrhein-Westfalen
11,Klinik in der Zarten,47.9004917,8.1058484,klinik-in-der-zarten.de,www.klinik-in-der-zarten.de,Erlenbrucker Str.,79856,Hinterzarten,Baden-Württemberg
12,Winghofer Medicum,48.4803926,8.9484496,winghofer-medicum.de,www.winghofermedicum.de,Röntgenstraße,72108,Rottenburg am Neckar,Baden-Württemberg
13,Isar Kliniken GmbH,48.1347002,11.5650239,isarklinikum.de,www.isarklinikum.de,Sonnenstr.,80331,München,Bayern
14,Niels-Stensen-Kliniken St. Vinzenz-Hospital Haselünne,52.5404711,7.8742164,niels-stensen-kliniken.de,www.krankenhaus-haseluenne.de,Hammer Straße,49740,Haselünne,Niedersachsen
15,Berglandklinik Lüdenscheid GmbH & Co. KG,51.2072819,7.6373849,berglandklinik-luedenscheid.de,www.meine-berglandklinik-luedenscheid.de,Am Hundebrink,58511,Lüdenscheid,Nordrhein-Westfalen
16,Krankenhaus Landshut-Achdorf,48.6980355,12.0032895,lakumed.de,www.lakumed.de,Schloßstr.,84056,Rottenburg an der Laaber,Bayern
17,Paracelsus Krankenhaus Unterlegenhardt,48.7818812,8.7233692,paracelsus-krankenhaus.de,www.paracelsus-stiftung.de,Burghaldenweg,75378,Bad Liebenzell,Baden-Württemberg
18,St.-Marien-Hospital Marsberg,51.4650438,8.8440701,bk-marsberg.de,www.bk-marsberg.de,Marienstraße,34431,"Marsberg, Sauerland",Nordrhein-Westfalen
19,Arberlandklinik Zwiesel,49.0072976,13.2183653,arberlandkliniken.de,www.arberlandkliniken.de,Arberlandstr.,94227,Zwiesel,Bayern
20,Sankt Rochus Kliniken - Frührehabilitation Phase B,49.2199506,8.6664432,sankt-rochus-kliniken.de,www.sankt-rochus-kliniken.de,Sankt-Rochus-Allee,76669,Bad Schönborn,Baden-Württemberg
21,Krankenhaus Spremberg,51.5652149,14.3739244,krankenhaus-spremberg.de,www.krankenhaus-spremberg.de,Karl-Marx-Straße,03130,Spremberg (NL),Brandenburg
22,SRH Kurpfalzkrankenhaus Heidelberg,49.4136043,8.6538078,srh.de,www.kurpfalzkrankenhaus.de,Bonhoefferstraße,69123,Heidelberg,Baden-Württemberg
23,Paracelsus-Nordseeklinik Helgoland,51.876518,10.0351333,paracelsus-kliniken.de,www.paracelsus-kliniken.de/akut/helgoland/,Invasorenpfad,27498,Helgoland,Schleswig-Holstein
24,Evangelisches Krankenhaus Dierdorf/Selters gGmbH,50.5293206,7.7592335,khsds.de,www.krankenhaus-dierdorf-selters.de,Hachenburger Straße,56269,Dierdorf,Rheinland-Pfalz
25,Helios-Weißeritztal-Klinik Freital,50.9008493,13.6677577,helios-gesundheit.de,www.helios-gesundheit.de/kliniken/weisseritztal,Rabenauer Str.,01744,Dippoldiswalde,Sachsen
26,DIAKOVERE Henriettenstift,52.3632398,9.8282801,diakovere.de,www.diakovere.de,Schwemannstraße,30559,Hannover,Niedersachsen
27,Kreiskrankenhaus Emmendingen,48.1252505,7.855804,krankenhaus-emmendingen.de,www.krankenhaus-emmendingen.de,Gartenstraße,79312,Emmendingen,Baden-Württemberg
28,Klinik mednord GmbH,48.2018974,11.5872598,klinik-mednord.de,www.klinik-mednord.de,Heidemannstr.,80939,München,Bayern
29,Klinikum Fichtelgebirge gGmbH,50.0018257,12.0662375,klinikum-fichtelgebirge.de,www.klinikum-fichtelgebirge.de,Schillerhain,95615,Marktredwitz,Bayern
30,Clemens-August-Klinik,52.5128232,8.1066413,clemensaugust.de,www.clemensaugust.de,Wahlde,49434,Neuenkirchen-Vörden,Niedersachsen
31,Clemens-August-Klinik,52.5131652,8.1090349,clemensaugust.de,www.clemensaugust.de,Wahlde,49434,Neuenkirchen-Vörden,Niedersachsen
32,Marianne-Strauß-Klinik Behandlungszentrum Kempfenhausen gGmbH,47.9880622,11.3643046,ms-klinik.de,www.ms-klinik.de,Milchberg,82335,Berg,Bayern
33,Winghofer Medicum,48.4771888,8.9414347,winghofer-medicum.de,www.winghofermedicum.de,Röntgenstraße,72108,Rottenburg am Neckar,Baden-Württemberg
34,Universitätsklinikum Erlangen,49.599543,11.0125554,uk-erlangen.de,www.uk-erlangen.de,Maximiliansplatz,91054,Erlangen,Bayern
35,Universitätsklinikum Heidelberg,49.4155972,8.6663847,uni-heidelberg.de,www.klinikum.uni-heidelberg.de,Im Neuenheimer Feld,69120,Heidelberg,Baden-Württemberg
36,Evangelisches Klinikum Bethel gGmbH,52.0139033,8.5253601,evkb.de,www.evkb.de,Burgsteig,33617,Bielefeld,Nordrhein-Westfalen
37,Klinikum Fichtelgebirge gGmbH,50.1689972,12.1182996,klinikum-fichtelgebirge.de,www.klinikum-fichtelgebirge.de,Weißenbacher Str.,95100,Selb,Bayern
38,Helios-Weißeritztal-Klinik Freital,50.9914894,13.6454717,helios-gesundheit.de,www.helios-gesundheit.de/kliniken/weisseritztal,Bürgerstr.,01705,Freital,Sachsen
39,Klinik Klosterstraße GmbH,54.0787453,9.9948417,klinik-klosterstrasse.de,www.klinik-klosterstrasse.de,Klosterstraße,24536,Neumünster,Schleswig-Holstein
40,Evangelisches Klinikum Bethel gGmbH,52.0417494,8.5406865,evkb.de,www.evkb.de,Schildescher Straße,33611,Bielefeld,Nordrhein-Westfalen
41,Universitätsklinikum Augsburg AöR,48.3845961,10.8396143,uk-augsburg.de,www.uk-augsburg.de,Stenglinstr.,86156,Augsburg,Bayern
42,Schön Klinik Lorsch,51.377627,9.0207072,schoen-klinik.de,www.fachklinik-lorsch.de,Wilhelm-Leuschner-Straße,64653,Lorsch,Hessen
43,Helios-Klinik Titisee-Neustadt,47.9257773,8.1871541,helios-gesundheit.de,www.helios-gesundheit.de,Jostalstraße,79822,Titisee-Neustadt,Baden-Württemberg
44,Evangelische Stiftung Tannenhof,51.1816571,7.190659,stiftung-tannenhof.de,www.stiftung-tannenhof.de,Konrad-Adenauer-Straße,42853,Remscheid,Nordrhein-Westfalen
45,Bezirksklinikum Regensburg,49.1536854,11.71951,medbo.de,www.medbo.de,Marienstr.,92224,Amberg,Bayern
46,Sana Klinik München GmbH,48.1036903,11.5398032,sana.de,www.sana-gesundheitscampus-muenchen.de,Steinerstr.,81369,München,Bayern
47,AMEOS Klinikum Ueckermünde,53.7407362,14.0220984,ameos.de,www.ameos.eu,Ravensteinstraße,17373,Ueckermünde,Mecklenburg-Vorpommern
48,Maria-Theresia-Klinik,48.1266722,11.5493435,maria-theresia-klinik.de,www.maria-theresia-klinik.de,Bavariaring,80336,München,Bayern
49,Klinik Schöneberg,52.4987992,13.3445517,klinik-schoeneberg.de,www.klinik-hygiea.de,Fuggerstraße,10777,Berlin,Berlin
50,Dr. Becker Kiliani-Klinik AKUT,49.5092959,10.4108817,dbkg.de,www.dbkg.de,Schwarzallee,91438,Bad Windsheim,Bayern
51,Universitätsklinikum Erlangen,49.5981446,11.0124965,uk-erlangen.de,www.uk-erlangen.de,Maximiliansplatz,91054,Erlangen,Bayern
52,Universitätsklinikum Erlangen,49.5983253,11.0117263,uk-erlangen.de,www.uk-erlangen.de,Maximiliansplatz,91054,Erlangen,Bayern
53,Universitätsklinikum Heidelberg,49.4168447,8.6628963,uni-heidelberg.de,www.klinikum.uni-heidelberg.de,Im Neuenheimer Feld,69120,Heidelberg,Baden-Württemberg
54,Universitätsklinikum Heidelberg,49.4166199,8.6628954,uni-heidelberg.de,www.klinikum.uni-heidelberg.de,Im Neuenheimer Feld,69120,Heidelberg,Baden-Württemberg
55,Universitätsklinikum Heidelberg,49.4169203,8.662535,uni-heidelberg.de,www.klinikum.uni-heidelberg.de,Im Neuenheimer Feld,69120,Heidelberg,Baden-Württemberg
56,Martini-Klinik am UKE,53.5890661,9.9713778,uke.de,www.martini-klinik.de,Martinistraße,20246,Hamburg,Hamburg
57,"OCM Klinik GmbH, Orthopädische Chirurgie München",48.1040115,11.5392429,ocm-muenchen.de,www.ocm-muenchen.de,Steinerstr.,81369,München,Bayern
58,Akutklinik Am schönen Moos,48.0136402,9.4828454,akutklinik-badsaulgau.de,www.akutklinik-badsaulgau.de,Am Schönen Moos,88348,Bad Saulgau,Baden-Württemberg
59,Universitätsklinikum Bonn,50.7023279,7.1022143,ukbonn.de,www.ukbonn.de,Venusberg-Campus,53127,Bonn,Nordrhein-Westfalen
60,Gertrudis-Klinik Parkinson-Zentrum GmbH,50.5330711,8.3084106,parkinson.de,www.parkinson.de,Karl-Ferdinand-Broll-Straße,35638,Leun,Hessen
61,m&i-Fachkliniken Hohenurach (Akutklinik),48.5043782,9.376891,fachkliniken-hohenurach.de,www.fachkliniken-hohenurach.de,Immanuel-Kant-Straße,72574,Bad Urach,Baden-Württemberg
